"Coal shipments to the electric power sector: price, by plant state",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"https://www.eia.gov/coal/data/browser/#/topic/45?agg=1,0&geo=vvvvvvvvvvvvo&rank=g&linechart=COAL.SHIP_PLANT_PRICE.US-TOT.Q&columnchart=COAL.SHIP_PLANT_PRICE.US-TOT.Q&map=COAL.SHIP_PLANT_PRICE.US-TOT.Q&freq=Q&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu Mar 02 2023 17:51:00 GMT-0600 (Central Standard Time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
description,units,source key,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022
All coal : United States,$/short ton,COAL.SHIP_PLANT_PRICE.US-TOT.Q,37.47,40.15,42.24,42.62,44.42,43.67,43.16,42.06,44.18,44.6,44.16,44.14,45.63,46.76,47.07,45.56,45.69,46.12,45.9,45.48,44.84,45.94,44.48,44.9,45.08,46.05,45.73,45.79,43.37,43.44,42.7,40.98,41.1,41.16,40.74,39.83,39.46,40.11,38.65,38.63,38.89,39.34,38.89,39.48,39.93,39.28,38.27,37.22,36.39,35.88,36.7,36.36,36.55,36.75,38.46,38.63,41.66,42.56,46.83
All coal : New England,$/short ton,COAL.SHIP_PLANT_PRICE.NEW-TOT.Q,70.16,72.75,69.62,72.85,82.56,87.88,76.45,82.1,81.17,80.67,84.59,80.67,85.18,88.3,85.89,91.67,89.9,113.44,92.33,82.7,96.11,86.09,84.6,74.96,76.04,82.53,81.99,82.6,79.06,89.93,77.94,74.92,63.73,85.71,68.27,73.68,76.83,118.39,114.68,117.54,100.86,85.55,81.61,105.14,153.43,91.63,151.48,104.48,101.74,86.59,109.45,107.24,113.87,116.01,104.97,127.61,174.66,177.58,232
All coal : Connecticut,$/short ton,COAL.SHIP_PLANT_PRICE.CT-TOT.Q,60.7,67.18,64.01,65.18,77.45,79.05,81.04,79.94,83.6,80.9,79.36,75.53,--,63.84,73.56,75.9,70.16,--,86.44,83.45,83.45,65.43,65.43,65.45,67.46,64.3,63.83,71.85,69.48,--,--,--,54.24,--,--,--,--,--,--,--,--,75.26,66.81,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
All coal : Maine,$/short ton,COAL.SHIP_PLANT_PRICE.ME-TOT.Q,84.71,102.92,105.33,107.15,100.35,170.46,213.24,128.99,106.75,149.74,202.54,145.91,143.08,172.01,173.27,175.43,200.08,198.73,200.23,180.09,126.12,126.59,122.54,119.19,131.86,137.45,134.6,136.44,134.24,119.66,114.87,117.68,107.65,100.75,100.96,104.34,114.5,118.39,114.68,117.54,139.12,146.58,146.45,148.5,153.43,162.85,151.48,151.72,133.95,125.26,109.45,107.24,113.87,116.01,104.97,150.31,201.23,223.12,214.23
All coal : Massachusetts,$/short ton,COAL.SHIP_PLANT_PRICE.MA-TOT.Q,69.71,67.83,68.1,66.24,82.65,86.44,72.18,72.91,73.29,73.31,81.36,77.77,82.9,91.02,85.79,90.13,81.32,119.69,74.75,71.85,89.52,81.84,75.51,68.14,68.65,73.97,83.86,76,76.59,65.64,57.52,61.83,63.34,74.94,51.57,54.68,54.18,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
All coal : New Hampshire,$/short ton,COAL.SHIP_PLANT_PRICE.NH-TOT.Q,81.81,93.03,86.99,96.95,88.3,94.01,86.02,114.74,105.64,108.05,94.05,88.94,88.04,94.04,94.36,91.79,106.69,107.12,102.79,107.5,111.73,103.89,112.56,103.45,118.38,104.42,111.04,106.63,91.54,100.23,104.33,93.6,--,101.92,106.17,106.81,99,--,--,--,81.29,--,--,90.94,--,74.76,--,81.58,81.85,80.48,--,--,--,--,--,107.23,107.15,107.23,234.41
All coal : Rhode Island,$/short ton,COAL.SHIP_PLANT_PRICE.RI-TOT.Q,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,69.09,63.93,63.83,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,66.81,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
All coal : Vermont,$/short ton,COAL.SHIP_PLANT_PRICE.VT-TOT.Q,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
All coal : Middle Atlantic,$/short ton,COAL.SHIP_PLANT_PRICE.MAT-TOT.Q,47.43,48.31,52.52,51.87,54,53.18,52.76,50.78,56.69,56.18,57.73,54.42,60.76,60.39,60.34,56.93,57.41,53.73,55.1,55.82,59,57.12,56.91,56.21,61.92,56.13,54,55.29,56.77,52.75,51.42,47.54,49.55,48.55,46.64,46.91,42.65,42.61,40.03,42.54,53.65,45.47,40.96,42.52,44.54,40.25,41.29,37.71,36.92,33.93,32.16,31.44,38.99,41.11,42.49,44.66,67.96,63.48,68.85
All coal : New Jersey,$/short ton,COAL.SHIP_PLANT_PRICE.NJ-TOT.Q,77.32,76.72,79.29,86.9,83.59,90.72,96.19,104.92,100.49,90.34,97.64,107.26,105.97,103.81,107.17,106.05,106.15,109.54,99.86,103.36,96.24,95.63,100.1,101.79,97.71,97.82,99,109.71,100.98,97.87,95.56,97.64,96.76,99.03,91.11,93.14,92.94,92.58,91.01,93.29,92.91,92.5,89.7,92.11,95.93,82.59,91.72,93.57,91.7,98.85,96.16,96.92,78.37,81.02,78.32,91.9,106.73,125.48,--
