group,fuel_cat,region,plant_count,total_capacity,mean_capacity,hrate,co2e_mmbtu,nox_mmbtu,so2_mmbtu,pm25_mmbtu,fuel_price,cal,inv_group,inv_int,j_bar,inv_cost
California Coal,Coal,0,2,1695,847.5,7.569872285,0.09520465002701249,1.072137053875032e-4,1.280156510904386e-5,9.2903322564270265e-06,3.9006000724225336,1,California 2,2,0.11354808427499999,232881.6627821316
California Gas 1,Gas,0,16,3268.8,204.3,9.4108415920625,0.0530709756732,1.0414589720873659e-4,5.624899403314353e-7,1.794456003629605e-6,5.3382253330322875,1,California 1,1,0.1411626238809375,2384478.53737962
California Gas 2,Gas,0,18,11093.7,616.3166666666666,7.761693373722222,0.0530709756732,3.994634115487958e-6,2.724461741106661e-7,3.4721872811881712e-6,5.3382253330322875,1,California 2,2,0.11642540060583333,2210356.4750087103
California Gas 3,Gas,0,20,2434.3,121.715,9.146265418,0.0530709756732,3.3149066667830894e-5,4.959814390338687e-7,2.2067151918633978e-6,5.3382253330322875,1,California 1,1,0.13719398127000001,2903947.1537862234
California Gas 4,Gas,0,3,4749.1,1583.0333333333333,8.705418356666666,0.0530709756732,3.725031501240415e-6,2.72198440812693e-7,7.974834267664967e-7,5.3382253330322875,1,California 2,2,0.13058127534999997,404506.0471168788
California Gas 5,Gas,0,9,8051.7,894.6333333333333,10.040013263666667,0.0530709756732,3.982109293950431e-6,2.7223413036338645e-7,1.6064321175756041e-6,5.3382253330322875,1,California 2,2,0.15060019895500001,1421721.5021618297
California Gas 6,Gas,0,128,605,4.7265625,7.747822440835938,0.0530709756732,1.998317046413844e-4,6.900762533136251e-7,9.304788379715892e-7,5.3382253330322875,1,California 1,1,0.11621733661253907,16084114.17800246
California Gas 7,Gas,0,69,3335.2,48.33623188405797,9.525183044826086,0.0530709756732,1.2855031816461028e-4,9.14699770393363e-7,4.7476572667350925e-6,5.3382253330322875,1,California 1,1,0.14287774567239128,10603966.0645513
California Gas 8,Gas,0,12,4139.1,344.925,8.240676227583334,0.0530709756732,3.6690275340176877e-5,5.37204005599556e-7,2.0718139330027675e-6,5.3382253330322875,1,California 1,1,0.12361014341375001,1557677.768766988
California Oil,Oil,0,4,404.9,101.225,13.48331126975,0.0809457493435575,5.203689186644845e-4,6.135447044264018e-5,3.602007188077684e-5,11.466455807415217,1,Oil,0,0.20224966904625,843057.7450472991
Northwest Coal,Coal,1,32,21277.8,664.93125,10.8076137981875,0.0968534587645125,8.30413724060527e-5,1.3633916041585697e-4,6.1765159232755e-6,1.9180024190111615,0,Not California 1,3,0.1621142069728125,5534725.037094113
Northwest Gas 1,Gas,1,7,4651.2,664.4571428571428,8.002089305142857,0.0530709756732,2.3518661341445028e-5,4.509868467360409e-7,1.3983815232892196e-6,4.578573354908307,0,Not California 1,3,0.12003133957714285,876012.6298516945
Northwest Gas 2,Gas,1,3,3187.8,1062.6000000000001,8.137484039,0.0530709756732,1.4694427182473069e-5,2.7234029428693254e-7,2.21815542509528e-6,4.578573354908307,0,Not California 2,4,0.122062260585,377793.639237996
Northwest Gas 3,Gas,1,12,3526.2,293.85,8.332030549166667,0.0530709756732,2.2091111872415515e-5,4.3633850357907013e-7,2.178509114417139e-6,4.578573354908307,0,Not California 1,3,0.12498045823750001,1575165.6470857246
Northwest Gas 4,Gas,1,11,1031.7,93.7909090909091,13.075043793,0.0530709756732,2.870492337197036e-4,1.2945299121386124e-6,3.922616082468152e-6,4.578573354908307,0,Not California 1,3,0.196125656895,2276296.0816635
Northwest Gas 5,Gas,1,9,4185.6,465.06666666666666,9.78537964688889,0.0530709756732,1.659377514366281e-5,3.654214552084714e-7,2.0967256710874505e-6,4.578573354908307,0,Not California 1,3,0.14678069470333335,1385213.457559081
Northwest Gas 6,Gas,1,37,711.5,19.22972972972973,10.067482320135136,0.052792610185393586,4.176425373936299e-4,8.408071922111011e-6,5.840161848542382e-6,4.578573354908307,0,Not California 1,3,0.15101223480202705,5966875.704365052
Northwest Gas 7,Gas,1,16,2888.5,180.53125,10.7004570176875,0.0530709756732,1.0909270481390546e-4,5.634768057028872e-7,2.597789751242701e-6,4.578573354908307,0,Not California 1,3,0.1605068552653125,2715646.7696798183
Northwest Gas 8,Gas,1,1,1385,1385,7.546925276,0.0530709756732,3.2433909533193304e-6,2.7217764737005025e-7,1.4892753723106793e-6,4.578573354908307,0,Not California 2,4,0.11320387913999999,115069.33388770104
Northwest Oil,Oil,1,2,83,41.5,17.098531695,0.08849352854355749,7.527833179414311e-4,5.471471284279463e-4,7.173649815783262e-5,11.466455807415217,0,Oil,0,0.25647797542499995,531477.55589754635
Southwest Coal,Coal,2,6,6244.7,1040.7833333333333,11.546126584333333,0.0972654719520125,8.238845700132861e-5,3.637224167035616e-5,6.070486241811048e-6,2.385188398069263,0,Not California 2,4,0.173191898765,1086337.2648532959
Southwest Gas 1,Gas,2,4,5550.4,1387.6,6.0794330497499995,0.0530709756732,5.5335025528005575e-6,2.7204948036375605e-7,3.0846961695330843e-6,3.92334142394822,0,Not California 2,4,0.09119149574624999,376309.2876973976
Southwest Gas 2,Gas,2,9,3663.3,407.03333333333336,9.455929774333333,0.0530709756732,3.084846554543279e-5,7.770726049971328e-7,3.6495509883328694e-6,3.92334142394822,0,Not California 1,3,0.141838946615,1337996.5361836562
Southwest Gas 3,Gas,2,1,1857,1857,11.069484693,0.0530709756732,3.891521298528613e-6,2.7216081781924113e-7,1.114225721058749e-6,3.92334142394822,0,Not California 2,4,0.166042270395,169598.78726410028
